fvc_true,fvc_pred
3.0,3.019928229665058
3.15,3.144401913875608
3.15,3.15
3.3,3.3299999999999996
3.8,3.8099999999999996
2.8,2.82
3.02,3.0080861244019066
3.71,3.826818181818163
3.71,3.71
3.61,3.852248803827743
3.1,3.070239234449754
2.89,2.8534928229665018
2.89,2.89
3.04,3.0843301435406483
3.99,3.7699999999999716
3.11,3.0895454545454455
3.11,3.032200956937785
3.05,3.0429904306219875
3.05,3.07
3.06,3.0823923444976007
3.11,3.1546650717703297
3.16,3.0444019138755767
2.87,2.87
2.07,2.0799999999999996
2.9,2.94
3.02,3.0046650717703307
3.92,3.96
3.08,2.9256937799042935
3.17,3.02564593301434
3.21,3.0481818181818294
3.21,3.061626794258376
3.0,3.01
3.35,3.1390909090908994
3.35,3.2819856459329895
4.24,4.26
4.24,4.26
3.09,3.0999999999999996
3.09,3.0310047846889816
3.3,3.3299999999999996
3.02,3.052129186602862
3.02,3.198062200956936
3.15,3.3221052631578774
3.15,3.148229665071777
3.7,3.74
4.45,4.151842105263185
4.45,4.46
2.75,2.79
2.75,2.78
2.91,2.848612440191389
2.91,2.92
2.65,2.69
2.65,2.7288277511961696
2.42,2.42
3.91,3.94
3.91,3.93
3.91,3.94
3.31,3.34
3.31,3.35
3.3,3.1114114832535877
3.3,3.3099999999999996
